decision_date,planned_week_start,date,activity,group,recommended_person_days
2027-05-18,2027-05-24,2027-05-26,Staging,operative,7.0
2027-05-18,2027-05-24,2027-05-26,Team leads,operative,4.1
2027-05-18,2027-05-24,2027-05-26,Transit drivers,operative,4.0
2027-05-18,2027-05-24,2027-05-26,Unloading,operative,2.0
2027-05-18,2027-05-24,2027-05-26,VNA replenishment,operative,1.0
2027-05-18,2027-05-24,2027-05-26,Yard shunting,operative,2.0
2027-05-18,2027-05-24,2027-05-27,Aisle maintenance,operative,1.0
2027-05-18,2027-05-24,2027-05-27,Co-Packing line,operative,4.1
2027-05-18,2027-05-24,2027-05-27,Control room,admin,2.0
2027-05-18,2027-05-24,2027-05-27,Inbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-27,Inventory,admin,2.0
2027-05-18,2027-05-24,2027-05-27,Loading,operative,6.4
2027-05-18,2027-05-24,2027-05-27,Outbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-27,Pick QA,operative,1.0
2027-05-18,2027-05-24,2027-05-27,Picking,operative,12.2
2027-05-18,2027-05-24,2027-05-27,Putaway,operative,12.1
2027-05-18,2027-05-24,2027-05-27,Receiving,operative,3.0
2027-05-18,2027-05-24,2027-05-27,Replenishment / relocation,operative,2.6
2027-05-18,2027-05-24,2027-05-27,Returns / QC,operative,1.0
2027-05-18,2027-05-24,2027-05-27,Staging,operative,7.8
2027-05-18,2027-05-24,2027-05-27,Team leads,operative,4.1
2027-05-18,2027-05-24,2027-05-27,Transit drivers,operative,4.0
2027-05-18,2027-05-24,2027-05-27,Unloading,operative,2.6
2027-05-18,2027-05-24,2027-05-27,VNA replenishment,operative,1.1
2027-05-18,2027-05-24,2027-05-27,Yard shunting,operative,2.0
2027-05-18,2027-05-24,2027-05-28,Aisle maintenance,operative,1.0
2027-05-18,2027-05-24,2027-05-28,Co-Packing line,operative,4.0
2027-05-18,2027-05-24,2027-05-28,Control room,admin,2.0
2027-05-18,2027-05-24,2027-05-28,Inbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-28,Inventory,admin,2.0
2027-05-18,2027-05-24,2027-05-28,Loading,operative,5.8
2027-05-18,2027-05-24,2027-05-28,Outbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-28,Pick QA,operative,1.0
2027-05-18,2027-05-24,2027-05-28,Picking,operative,13.1
2027-05-18,2027-05-24,2027-05-28,Putaway,operative,11.9
2027-05-18,2027-05-24,2027-05-28,Receiving,operative,3.0
2027-05-18,2027-05-24,2027-05-28,Replenishment / relocation,operative,2.6
2027-05-18,2027-05-24,2027-05-28,Returns / QC,operative,1.0
2027-05-18,2027-05-24,2027-05-28,Staging,operative,8.1
2027-05-18,2027-05-24,2027-05-28,Team leads,operative,4.0
2027-05-18,2027-05-24,2027-05-28,Transit drivers,operative,4.0
2027-05-18,2027-05-24,2027-05-28,Unloading,operative,2.5
2027-05-18,2027-05-24,2027-05-28,VNA replenishment,operative,1.1
2027-05-18,2027-05-24,2027-05-28,Yard shunting,operative,2.0
2027-05-25,2027-05-31,2027-05-31,Aisle maintenance,operative,1.0
2027-05-25,2027-05-31,2027-05-31,Co-Packing line,operative,4.2
2027-05-25,2027-05-31,2027-05-31,Control room,admin,2.0
2027-05-25,2027-05-31,2027-05-31,Inbound office,admin,2.0
2027-05-25,2027-05-31,2027-05-31,Inventory,admin,2.0
2027-05-25,2027-05-31,2027-05-31,Loading,operative,5.8
2027-05-25,2027-05-31,2027-05-31,Outbound office,admin,2.0
2027-05-25,2027-05-31,2027-05-31,Pick QA,operative,1.0
2027-05-25,2027-05-31,2027-05-31,Picking,operative,12.5
2027-05-25,2027-05-31,2027-05-31,Putaway,operative,12.8
2027-05-25,2027-05-31,2027-05-31,Receiving,operative,2.7
2027-05-25,2027-05-31,2027-05-31,Replenishment / relocation,operative,2.7
2027-05-25,2027-05-31,2027-05-31,Returns / QC,operative,1.0
2027-05-25,2027-05-31,2027-05-31,Staging,operative,7.9
2027-05-25,2027-05-31,2027-05-31,Team leads,operative,4.0
2027-05-25,2027-05-31,2027-05-31,Transit drivers,operative,4.0
2027-05-25,2027-05-31,2027-05-31,Unloading,operative,2.4
2027-05-25,2027-05-31,2027-05-31,VNA replenishment,operative,1.1
2027-05-25,2027-05-31,2027-05-31,Yard shunting,operative,2.0
2027-05-25,2027-05-31,2027-06-01,Aisle maintenance,operative,1.0
2027-05-25,2027-05-31,2027-06-01,Co-Packing line,operative,4.1
2027-05-25,2027-05-31,2027-06-01,Control room,admin,2.0
2027-05-25,2027-05-31,2027-06-01,Inbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-01,Inventory,admin,2.0
2027-05-25,2027-05-31,2027-06-01,Loading,operative,5.5
2027-05-25,2027-05-31,2027-06-01,Outbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-01,Pick QA,operative,1.0
2027-05-25,2027-05-31,2027-06-01,Picking,operative,13.7
2027-05-25,2027-05-31,2027-06-01,Putaway,operative,12.2
2027-05-25,2027-05-31,2027-06-01,Receiving,operative,2.9
2027-05-25,2027-05-31,2027-06-01,Replenishment / relocation,operative,2.5
2027-05-25,2027-05-31,2027-06-01,Returns / QC,operative,1.0
2027-05-25,2027-05-31,2027-06-01,Staging,operative,8.6
2027-05-25,2027-05-31,2027-06-01,Team leads,operative,4.0
2027-05-25,2027-05-31,2027-06-01,Transit drivers,operative,4.0
2027-05-25,2027-05-31,2027-06-01,Unloading,operative,2.5
2027-05-25,2027-05-31,2027-06-01,VNA replenishment,operative,1.0
2027-05-25,2027-05-31,2027-06-01,Yard shunting,operative,2.0
2027-05-25,2027-05-31,2027-06-02,Aisle maintenance,operative,1.0
2027-05-25,2027-05-31,2027-06-02,Co-Packing line,operative,4.2
2027-05-25,2027-05-31,2027-06-02,Control room,admin,2.0
2027-05-25,2027-05-31,2027-06-02,Inbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-02,Inventory,admin,2.0
2027-05-25,2027-05-31,2027-06-02,Loading,operative,4.6
2027-05-25,2027-05-31,2027-06-02,Outbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-02,Pick QA,operative,1.0
2027-05-25,2027-05-31,2027-06-02,Picking,operative,11.8
2027-05-25,2027-05-31,2027-06-02,Putaway,operative,10.5
2027-05-25,2027-05-31,2027-06-02,Receiving,operative,2.4
2027-05-25,2027-05-31,2027-06-02,Replenishment / relocation,operative,2.6
2027-05-25,2027-05-31,2027-06-02,Returns / QC,operative,1.0
2027-05-25,2027-05-31,2027-06-02,Staging,operative,6.6
2027-05-25,2027-05-31,2027-06-02,Team leads,operative,4.0
2027-05-25,2027-05-31,2027-06-02,Transit drivers,operative,4.0
2027-05-25,2027-05-31,2027-06-02,Unloading,operative,2.1
2027-05-25,2027-05-31,2027-06-02,VNA replenishment,operative,1.0
2027-05-25,2027-05-31,2027-06-02,Yard shunting,operative,2.1
2027-05-25,2027-05-31,2027-06-03,Aisle maintenance,operative,1.0
2027-05-25,2027-05-31,2027-06-03,Co-Packing line,operative,4.0
2027-05-25,2027-05-31,2027-06-03,Control room,admin,2.0
2027-05-25,2027-05-31,2027-06-03,Inbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-03,Inventory,admin,2.0
2027-05-25,2027-05-31,2027-06-03,Loading,operative,6.0
2027-05-25,2027-05-31,2027-06-03,Outbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-03,Pick QA,operative,1.0
2027-05-25,2027-05-31,2027-06-03,Picking,operative,13.8
2027-05-25,2027-05-31,2027-06-03,Putaway,operative,11.6
2027-05-25,2027-05-31,2027-06-03,Receiving,operative,3.2
2027-05-25,2027-05-31,2027-06-03,Replenishment / relocation,operative,2.9
2027-05-25,2027-05-31,2027-06-03,Returns / QC,operative,1.0
2027-05-25,2027-05-31,2027-06-03,Staging,operative,7.6
2027-05-25,2027-05-31,2027-06-03,Team leads,operative,4.0
2027-05-25,2027-05-31,2027-06-03,Transit drivers,operative,4.0
2027-05-25,2027-05-31,2027-06-03,Unloading,operative,2.3
2027-05-25,2027-05-31,2027-06-03,VNA replenishment,operative,1.0
2027-05-25,2027-05-31,2027-06-03,Yard shunting,operative,2.0
2027-05-25,2027-05-31,2027-06-04,Aisle maintenance,operative,1.0
2027-05-25,2027-05-31,2027-06-04,Co-Packing line,operative,4.0
2027-05-25,2027-05-31,2027-06-04,Control room,admin,2.0
2027-05-25,2027-05-31,2027-06-04,Inbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-04,Inventory,admin,2.0
2027-05-25,2027-05-31,2027-06-04,Loading,operative,6.1
2027-05-25,2027-05-31,2027-06-04,Outbound office,admin,2.0
2027-05-25,2027-05-31,2027-06-04,Pick QA,operative,1.1
2027-05-25,2027-05-31,2027-06-04,Picking,operative,13.9
2027-05-25,2027-05-31,2027-06-04,Putaway,operative,12.3
2027-05-25,2027-05-31,2027-06-04,Receiving,operative,2.8
2027-05-25,2027-05-31,2027-06-04,Replenishment / relocation,operative,2.8
2027-05-25,2027-05-31,2027-06-04,Returns / QC,operative,1.0
2027-05-25,2027-05-31,2027-06-04,Staging,operative,7.6
2027-05-25,2027-05-31,2027-06-04,Team leads,operative,4.0
2027-05-25,2027-05-31,2027-06-04,Transit drivers,operative,4.0
2027-05-25,2027-05-31,2027-06-04,Unloading,operative,2.5
2027-05-25,2027-05-31,2027-06-04,VNA replenishment,operative,1.0
2027-05-25,2027-05-31,2027-06-04,Yard shunting,operative,2.0
2027-06-01,2027-06-07,2027-06-07,Aisle maintenance,operative,1.1
2027-06-01,2027-06-07,2027-06-07,Co-Packing line,operative,4.0
2027-06-01,2027-06-07,2027-06-07,Control room,admin,2.0
2027-06-01,2027-06-07,2027-06-07,Inbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-07,Inventory,admin,2.0
2027-06-01,2027-06-07,2027-06-07,Loading,operative,6.4
2027-06-01,2027-06-07,2027-06-07,Outbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-07,Pick QA,operative,1.0
2027-06-01,2027-06-07,2027-06-07,Picking,operative,12.8
2027-06-01,2027-06-07,2027-06-07,Putaway,operative,12.9
2027-06-01,2027-06-07,2027-06-07,Receiving,operative,2.8
2027-06-01,2027-06-07,2027-06-07,Replenishment / relocation,operative,2.7
2027-06-01,2027-06-07,2027-06-07,Returns / QC,operative,1.0
2027-06-01,2027-06-07,2027-06-07,Staging,operative,7.9
2027-06-01,2027-06-07,2027-06-07,Team leads,operative,4.0
2027-06-01,2027-06-07,2027-06-07,Transit drivers,operative,4.0
2027-06-01,2027-06-07,2027-06-07,Unloading,operative,2.6
2027-06-01,2027-06-07,2027-06-07,VNA replenishment,operative,1.0
2027-06-01,2027-06-07,2027-06-07,Yard shunting,operative,2.1
2027-06-01,2027-06-07,2027-06-08,Aisle maintenance,operative,1.0
2027-06-01,2027-06-07,2027-06-08,Co-Packing line,operative,4.0
2027-06-01,2027-06-07,2027-06-08,Control room,admin,2.0
2027-06-01,2027-06-07,2027-06-08,Inbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-08,Inventory,admin,2.0
2027-06-01,2027-06-07,2027-06-08,Loading,operative,5.8
2027-06-01,2027-06-07,2027-06-08,Outbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-08,Pick QA,operative,1.1
2027-06-01,2027-06-07,2027-06-08,Picking,operative,13.2
2027-06-01,2027-06-07,2027-06-08,Putaway,operative,11.0
2027-06-01,2027-06-07,2027-06-08,Receiving,operative,2.7
2027-06-01,2027-06-07,2027-06-08,Replenishment / relocation,operative,2.6
2027-06-01,2027-06-07,2027-06-08,Returns / QC,operative,1.1
2027-06-01,2027-06-07,2027-06-08,Staging,operative,8.1
2027-06-01,2027-06-07,2027-06-08,Team leads,operative,4.0
2027-06-01,2027-06-07,2027-06-08,Transit drivers,operative,4.0
2027-06-01,2027-06-07,2027-06-08,Unloading,operative,2.5
2027-06-01,2027-06-07,2027-06-08,VNA replenishment,operative,1.0
2027-06-01,2027-06-07,2027-06-08,Yard shunting,operative,2.0
2027-06-01,2027-06-07,2027-06-09,Aisle maintenance,operative,1.0
2027-06-01,2027-06-07,2027-06-09,Co-Packing line,operative,4.0
2027-06-01,2027-06-07,2027-06-09,Control room,admin,2.0
2027-06-01,2027-06-07,2027-06-09,Inbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-09,Inventory,admin,2.0
2027-06-01,2027-06-07,2027-06-09,Loading,operative,4.8
2027-06-01,2027-06-07,2027-06-09,Outbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-09,Pick QA,operative,1.0
2027-06-01,2027-06-07,2027-06-09,Picking,operative,12.5
2027-06-01,2027-06-07,2027-06-09,Putaway,operative,10.5
2027-06-01,2027-06-07,2027-06-09,Receiving,operative,2.6
2027-06-01,2027-06-07,2027-06-09,Replenishment / relocation,operative,2.1
2027-06-01,2027-06-07,2027-06-09,Returns / QC,operative,1.0
2027-06-01,2027-06-07,2027-06-09,Staging,operative,7.8
2027-06-01,2027-06-07,2027-06-09,Team leads,operative,4.1
2027-06-01,2027-06-07,2027-06-09,Transit drivers,operative,4.0
2027-06-01,2027-06-07,2027-06-09,Unloading,operative,2.0
2027-06-01,2027-06-07,2027-06-09,VNA replenishment,operative,1.0
2027-06-01,2027-06-07,2027-06-09,Yard shunting,operative,2.0
2027-06-01,2027-06-07,2027-06-10,Aisle maintenance,operative,1.0
2027-06-01,2027-06-07,2027-06-10,Co-Packing line,operative,4.2
2027-06-01,2027-06-07,2027-06-10,Control room,admin,2.0
2027-06-01,2027-06-07,2027-06-10,Inbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-10,Inventory,admin,2.0
2027-06-01,2027-06-07,2027-06-10,Loading,operative,5.4
2027-06-01,2027-06-07,2027-06-10,Outbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-10,Pick QA,operative,1.1
2027-06-01,2027-06-07,2027-06-10,Picking,operative,12.7
2027-06-01,2027-06-07,2027-06-10,Putaway,operative,12.2
2027-06-01,2027-06-07,2027-06-10,Receiving,operative,2.6
2027-06-01,2027-06-07,2027-06-10,Replenishment / relocation,operative,2.6
2027-06-01,2027-06-07,2027-06-10,Returns / QC,operative,1.0
2027-06-01,2027-06-07,2027-06-10,Staging,operative,8.6
2027-06-01,2027-06-07,2027-06-10,Team leads,operative,4.0
2027-06-01,2027-06-07,2027-06-10,Transit drivers,operative,4.1
2027-06-01,2027-06-07,2027-06-10,Unloading,operative,2.4
2027-06-01,2027-06-07,2027-06-10,VNA replenishment,operative,1.0
2027-06-01,2027-06-07,2027-06-10,Yard shunting,operative,2.0
2027-06-01,2027-06-07,2027-06-11,Aisle maintenance,operative,1.0
2027-06-01,2027-06-07,2027-06-11,Co-Packing line,operative,4.0
2027-06-01,2027-06-07,2027-06-11,Control room,admin,2.0
2027-06-01,2027-06-07,2027-06-11,Inbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-11,Inventory,admin,2.0
2027-06-01,2027-06-07,2027-06-11,Loading,operative,5.8
2027-06-01,2027-06-07,2027-06-11,Outbound office,admin,2.0
2027-06-01,2027-06-07,2027-06-11,Pick QA,operative,1.0
2027-06-01,2027-06-07,2027-06-11,Picking,operative,12.9
2027-06-01,2027-06-07,2027-06-11,Putaway,operative,11.8
2027-06-01,2027-06-07,2027-06-11,Receiving,operative,3.2
2027-06-01,2027-06-07,2027-06-11,Replenishment / relocation,operative,2.4
2027-06-01,2027-06-07,2027-06-11,Returns / QC,operative,1.0
2027-06-01,2027-06-07,2027-06-11,Staging,operative,7.4
2027-06-01,2027-06-07,2027-06-11,Team leads,operative,4.0
2027-06-01,2027-06-07,2027-06-11,Transit drivers,operative,4.0
2027-06-01,2027-06-07,2027-06-11,Unloading,operative,2.5
2027-06-01,2027-06-07,2027-06-11,VNA replenishment,operative,1.0
2027-06-01,2027-06-07,2027-06-11,Yard shunting,operative,2.0
2027-06-08,2027-06-14,2027-06-14,Aisle maintenance,operative,1.1
2027-06-08,2027-06-14,2027-06-14,Co-Packing line,operative,4.0
2027-06-08,2027-06-14,2027-06-14,Control room,admin,2.0
2027-06-08,2027-06-14,2027-06-14,Inbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-14,Inventory,admin,2.0
2027-06-08,2027-06-14,2027-06-14,Loading,operative,6.1
2027-06-08,2027-06-14,2027-06-14,Outbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-14,Pick QA,operative,1.0
2027-06-08,2027-06-14,2027-06-14,Picking,operative,14.1
2027-06-08,2027-06-14,2027-06-14,Putaway,operative,11.5
2027-06-08,2027-06-14,2027-06-14,Receiving,operative,3.0
2027-06-08,2027-06-14,2027-06-14,Replenishment / relocation,operative,2.8
2027-06-08,2027-06-14,2027-06-14,Returns / QC,operative,1.1
2027-06-08,2027-06-14,2027-06-14,Staging,operative,8.2
2027-06-08,2027-06-14,2027-06-14,Team leads,operative,4.1
2027-06-08,2027-06-14,2027-06-14,Transit drivers,operative,4.0
2027-06-08,2027-06-14,2027-06-14,Unloading,operative,2.4
2027-06-08,2027-06-14,2027-06-14,VNA replenishment,operative,1.0
2027-06-08,2027-06-14,2027-06-14,Yard shunting,operative,2.0
2027-06-08,2027-06-14,2027-06-15,Aisle maintenance,operative,1.1
2027-06-08,2027-06-14,2027-06-15,Co-Packing line,operative,4.0
2027-06-08,2027-06-14,2027-06-15,Control room,admin,2.0
2027-06-08,2027-06-14,2027-06-15,Inbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-15,Inventory,admin,2.0
2027-06-08,2027-06-14,2027-06-15,Loading,operative,5.2
2027-06-08,2027-06-14,2027-06-15,Outbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-15,Pick QA,operative,1.0
2027-06-08,2027-06-14,2027-06-15,Picking,operative,14.7
2027-06-08,2027-06-14,2027-06-15,Putaway,operative,13.0
2027-06-08,2027-06-14,2027-06-15,Receiving,operative,2.8
2027-06-08,2027-06-14,2027-06-15,Replenishment / relocation,operative,2.8
2027-06-08,2027-06-14,2027-06-15,Returns / QC,operative,1.1
2027-06-08,2027-06-14,2027-06-15,Staging,operative,8.3
2027-06-08,2027-06-14,2027-06-15,Team leads,operative,4.1
2027-06-08,2027-06-14,2027-06-15,Transit drivers,operative,4.0
2027-06-08,2027-06-14,2027-06-15,Unloading,operative,2.4
2027-06-08,2027-06-14,2027-06-15,VNA replenishment,operative,1.0
2027-06-08,2027-06-14,2027-06-15,Yard shunting,operative,2.1
2027-06-08,2027-06-14,2027-06-16,Aisle maintenance,operative,1.0
2027-06-08,2027-06-14,2027-06-16,Co-Packing line,operative,4.2
2027-06-08,2027-06-14,2027-06-16,Control room,admin,2.0
2027-06-08,2027-06-14,2027-06-16,Inbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-16,Inventory,admin,2.0
2027-06-08,2027-06-14,2027-06-16,Loading,operative,4.9
2027-06-08,2027-06-14,2027-06-16,Outbound office,admin,2.0
2027-06-08,2027-06-14,2027-06-16,Pick QA,operative,1.0
2027-06-08,2027-06-14,2027-06-16,Picking,operative,10.1
2027-06-08,2027-06-14,2027-06-16,Putaway,operative,11.0
